Model,threshold,AUC,Accuracy,Sensitivity,Specificity,TN,FP,FN,TP
Logistic (L2),0.5,0.8095,0.7209,0.6667,0.7727,17,5,7,14
LASSO-Logistic (L1),0.5,0.7641,0.6977,0.6667,0.7273,16,6,7,14
