Model,Threshold,AUC,Accuracy,Sensitivity,Specificity,TP,FP,TN,FN
Logistic (L2),0.5,0.8095238095238094,0.7209302325581395,0.6666666666666666,0.7727272727272727,14,5,17,7
LASSO (L1),0.5,0.764069264069264,0.6976744186046512,0.6666666666666666,0.7272727272727273,14,6,16,7
