Model,Threshold,AUC,Accuracy,Sensitivity,Specificity,TP,FP,TN,FN
Logistic (L2),0.7656553710687102,0.8095238095238094,0.7674418604651163,0.6666666666666666,0.8636363636363636,14,3,19,7
LASSO (L1),0.37079466868074373,0.764069264069264,0.7441860465116279,0.8095238095238095,0.6818181818181818,17,7,15,4
