Model,threshold,AUC,Accuracy,Sensitivity,Specificity,TN,FP,FN,TP
Logistic (L2),0.7657,0.8095,0.7674,0.6667,0.8636,19,3,7,14
LASSO-Logistic (L1),0.3708,0.7641,0.7442,0.8095,0.6818,15,7,4,17
